order_id,customer_id,order_timestamp,order_amount,discount_percentage,product_category,item_quantity,payment_method,pincode_tier,shipping_speed,device_type,true_return_prob,is_returned
ORD_0000001,CUST_000039,2025-01-04 22:56:16,837.48,0.1295,Beauty_PersonalCare,1,DebitCard,Tier2_Urban,Standard,Mobile_Web,0.148,0
ORD_0000002,CUST_000045,2025-01-06 06:05:13,4249.25,0.273,Electronics,2,UPI,Tier1_Metro,Standard,Mobile_Web,0.1513,0
ORD_0000003,CUST_000042,2025-01-06 15:23:59,20163.56,0.3776,Electronics,3,COD,Tier3_SemiUrban,Standard,Mobile_Web,0.3401,1
ORD_0000004,CUST_000039,2025-01-07 15:37:23,1219.96,0.0868,Beauty_PersonalCare,1,COD,Tier1_Metro,Standard,Mobile_App,0.303,0
ORD_0000005,CUST_000014,2025-01-09 11:51:43,1639.65,0.1828,Footwear,1,CreditCard,Tier1_Metro,Express,Mobile_Web,0.1681,0
ORD_0000006,CUST_000031,2025-01-09 21:00:28,1049.28,0.3819,Apparel,1,UPI,Tier2_Urban,Express,Mobile_App,0.2189,1
ORD_0000007,CUST_000005,2025-01-10 06:04:21,898.59,0.1586,Apparel,1,UPI,Tier1_Metro,Standard,Mobile_Web,0.3313,0
ORD_0000008,CUST_000035,2025-01-10 16:14:20,1190.01,0.3306,Beauty_PersonalCare,2,DebitCard,Tier1_Metro,Standard,Mobile_Web,0.3134,0
ORD_0000009,CUST_000023,2025-01-12 03:10:55,7151.03,0.2617,Electronics,3,CreditCard,Tier2_Urban,Standard,Mobile_App,0.2369,0
ORD_0000010,CUST_000029,2025-01-14 02:51:15,5037.32,0.1126,Electronics,1,COD,Tier1_Metro,Express,Mobile_Web,0.2389,0
ORD_0000011,CUST_000043,2025-01-14 15:10:12,934.65,0.1235,Apparel,1,COD,Tier2_Urban,Standard,Mobile_App,0.4167,1
ORD_0000012,CUST_000011,2025-01-15 20:47:03,1892.52,0.5271,Apparel,2,COD,Tier1_Metro,Standard,Mobile_App,0.6858,1
ORD_0000013,CUST_000018,2025-01-17 12:51:47,1573.86,0.3084,Apparel,1,CreditCard,Tier1_Metro,Standard,Mobile_Web,0.3466,0
ORD_0000014,CUST_000047,2025-01-17 18:58:59,1901.83,0.4412,Footwear,2,COD,Tier1_Metro,Standard,Mobile_App,0.4821,0
ORD_0000015,CUST_000012,2025-01-19 20:43:54,1369.11,0.3365,Electronics,1,UPI,Tier1_Metro,Standard,Mobile_Web,0.1272,0
ORD_0000016,CUST_000009,2025-01-26 07:36:17,2259.82,0.1774,Footwear,1,CreditCard,Tier2_Urban,Standard,Mobile_Web,0.1837,0
